Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,18O,17O
732,354.083145,354.083055,354.083055,7695476,,0,-1,-0.256,-0.091,,,8,1.133333333,0.6,,,0,,C15 H16 N O9,15,16,9,0,1,,,,
733,354.113936,354.113567,354.113567,3109005,,0,-1,-1.041,-0.369,,,16,0.739130435,0.130434783,,,0,,C23 H16 N O3,23,16,3,0,1,,,,
734,354.119383,354.11944,354.11944,3542162,,0,-1,0.162,0.057,,,7,1.3125,0.5,,,0,,C16 H20 N O8,16,20,8,0,1,,,,
735,354.130612,354.130674,354.130674,8404123,,0,-1,0.173,0.061,,,7,1.4,0.466666667,,,0,,C15 H20 N3 O7,15,20,7,0,3,,,,
736,354.134897,354.134696,354.134696,3489951,,0,-1,-0.567,-0.201,,,11,1.05,0.25,,,0,,C20 H20 N O5,20,20,5,0,1,,,,
737,354.167046,354.167059,354.167059,4338873,,0,-1,0.037,0.013,,,6,1.5625,0.375,,,0,,C16 H24 N3 O6,16,24,6,0,3,,,,
738,354.203374,354.203445,354.203445,11326679,,0,-1,0.199,0.07,,,5,1.705882353,0.294117647,,,0,,C17 H28 N3 O5,17,28,5,0,3,,,,
739,355.096949,355.096931,355.096931,6563768,,0.5,-1,-0.05,-0.018,,,7,1.333333333,0.4,,,0,,C15 H19 N2 O6 S,15,19,6,1,2,,,,
740,355.103398,355.103456,355.103456,27420606,,,-1,0.164,0.058,,,7,1.25,0.5625,,,0,,C16 H19 O9,16,19,9,0,0,,,,
741,355.118613,355.118712,355.118712,2985930,,,-1,0.277,0.098,,,11,1,0.3,,,0,,C20 H19 O6,20,19,6,0,0,,,,
742,355.139938,355.139841,355.139841,7649244,,,-1,-0.272,-0.097,,,6,1.411764706,0.470588235,,,0,,C17 H23 O8,17,23,8,0,0,,,,
743,355.155024,355.155097,355.155097,3683304,,,-1,0.208,0.074,,,10,1.142857143,0.238095238,,,0,,C21 H23 O5,21,23,5,0,0,,,,
744,355.176066,355.176227,355.176227,4995066,,,-1,0.451,0.16,,,5,1.555555556,0.388888889,,,0,,C18 H27 O7,18,27,7,0,0,,,,
745,355.194944,355.194854,355.194854,3068937,,,-1,-0.254,-0.09,,,4,1.684210526,0.210526316,,,0,,C19 H31 O4 S,19,31,4,1,0,,,,
746,355.223948,355.223846,355.223846,2459681,,0,-1,-0.287,-0.102,,,4,1.777777778,0.277777778,,,0,,C18 H31 N2 O5,18,31,5,0,2,,,,
747,356.077597,356.077575,356.077575,2943211,,0,-1,-0.06,-0.022,,,12,0.833333333,0.388888889,,,0,,C18 H14 N O7,18,14,7,0,1,,,,
748,356.080864,356.080947,356.080947,5419758,,1,-1,0.232,0.083,,,7,1.266666667,0.466666667,,,0,,C15 H18 N O7 S,15,18,7,1,1,,,,
749,356.135087,356.13509,356.13509,3389211,,0,-1,0.009,0.003,,,6,1.4375,0.5,,,0,,C16 H22 N O8,16,22,8,0,1,,,,
750,356.1464,356.146324,356.146324,13794085,,0,-1,-0.215,-0.077,,,6,1.533333333,0.466666667,,,0,,C15 H22 N3 O7,15,22,7,0,3,,,,
751,356.1504,356.150346,356.150346,2694952,,0,-1,-0.15,-0.053,,,10,1.15,0.25,,,0,,C20 H22 N O5,20,22,5,0,1,,,,
752,356.182561,356.182709,356.182709,3527491,,0,-1,0.416,0.148,,,5,1.6875,0.375,,,0,,C16 H26 N3 O6,16,26,6,0,3,,,,
753,357.082616,357.08272,357.08272,2602556,,,-1,0.292,0.104,,,7,1.2,0.666666667,,,0,,C15 H17 O10,15,17,10,0,0,,,,
754,357.101231,357.101348,357.101348,7835213,,,-1,0.326,0.116,,,6,1.375,0.4375,,,0,,C16 H21 O7 S,16,21,7,1,0,,,,
755,357.119272,357.119106,357.119106,8031836,,,-1,-0.465,-0.166,,,6,1.375,0.5625,,,0,,C16 H21 O9,16,21,9,0,0,,,,
756,357.134295,357.134362,357.134362,40709736,,,-1,0.188,0.067,,,10,1.1,0.3,,,0,,C20 H21 O6,20,21,6,0,0,,,,
757,357.155432,357.155491,357.155491,15773306,,,-1,0.165,0.059,,,5,1.529411765,0.470588235,,,0,,C17 H25 O8,17,25,8,0,0,,,,
758,357.166828,357.166725,357.166725,6076036,,0,-1,-0.289,-0.103,,,5,1.625,0.4375,,,0,,C16 H25 N2 O7,16,25,7,0,2,,,,
759,357.170606,357.170747,357.170747,4024967,,,-1,0.395,0.141,,,9,1.238095238,0.238095238,,,0,,C21 H25 O5,21,25,5,0,0,,,,
760,358.096621,358.096597,358.096597,4007328,,1,-1,-0.067,-0.024,,,6,1.4,0.466666667,,,0,,C15 H20 N O7 S,15,20,7,1,1,,,,
761,358.125677,358.125588,358.125588,3298745,,0,-1,-0.248,-0.089,,,6,1.5,0.571428571,,,0,,C14 H20 N3 O8,14,20,8,0,3,,,,
762,358.129529,358.129611,358.129611,16859580,,0,-1,0.228,0.082,,,10,1.105263158,0.315789474,,,0,,C19 H20 N O6,19,20,6,0,1,,,,
763,358.14448,358.144867,358.144867,3143113,,0,-1,1.08,0.387,,,14,0.913043478,0.130434783,,,0,,C23 H20 N O3,23,20,3,0,1,,,,
764,358.150636,358.15074,358.15074,3851727,,0,-1,0.291,0.104,,,5,1.5625,0.5,,,0,,C16 H24 N O8,16,24,8,0,1,,,,
765,358.161944,358.161974,358.161974,9437656,,0,-1,0.082,0.029,,,5,1.666666667,0.466666667,,,0,,C15 H24 N3 O7,15,24,7,0,3,,,,
766,358.198372,358.198359,358.198359,5409272,,0,-1,-0.034,-0.012,,,4,1.8125,0.375,,,0,,C16 H28 N3 O6,16,28,6,0,3,,,,
767,358.213461,358.213615,358.213615,3055109,,0,-1,0.431,0.154,,,8,1.45,0.15,,,0,,C20 H28 N3 O3,20,28,3,0,3,,,,
768,359.098346,359.09837,359.09837,3686659,,,-1,0.069,0.025,,,6,1.333333333,0.666666667,,,0,,C15 H19 O10,15,19,10,0,0,,,,
769,359.109731,359.109604,359.109604,2649357,,0,-1,-0.354,-0.127,,,6,1.428571429,0.642857143,,,0,,C14 H19 N2 O9,14,19,9,0,2,,,,
770,359.113572,359.113627,359.113627,9315601,,,-1,0.151,0.054,,,10,1.052631579,0.368421053,,,0,,C19 H19 O7,19,19,7,0,0,,,,
771,359.149921,359.150012,359.150012,209286448,,,-1,0.253,0.091,,,9,1.2,0.3,,,0,,C20 H23 O6,20,23,6,0,0,,,,
772,359.182528,359.182375,359.182375,3816781,,0,-1,-0.426,-0.153,,,4,1.75,0.4375,,,0,,C16 H27 N2 O7,16,27,7,0,2,,,,
773,360.112241,360.112247,360.112247,6965371,,1,-1,0.017,0.006,,,5,1.533333333,0.466666667,,,0,,C15 H22 N O7 S,15,22,7,1,1,,,,
774,360.141144,360.141238,360.141238,8427668,,0,-1,0.261,0.094,,,5,1.642857143,0.571428571,,,0,,C14 H22 N3 O8,14,22,8,0,3,,,,
775,360.145049,360.145261,360.145261,2659480,,0,-1,0.59,0.212,,,9,1.210526316,0.315789474,,,0,,C19 H22 N O6,19,22,6,0,1,,,,
776,360.177733,360.177624,360.177624,2726581,,0,-1,-0.305,-0.11,,,4,1.8,0.466666667,,,0,,C15 H26 N3 O7,15,26,7,0,3,,,,
777,361.092776,361.092891,361.092891,9382878,,,-1,0.319,0.115,,,10,1,0.444444444,,,0,,C18 H17 O8,18,17,8,0,0,,,,
778,361.104026,361.104124,361.104124,2891752,,0,-1,0.273,0.099,,,10,1.058823529,0.411764706,,,0,,C17 H17 N2 O7,17,17,7,0,2,,,,
779,361.129294,361.129277,361.129277,104168448,,,-1,-0.049,-0.018,,,9,1.157894737,0.368421053,,,0,,C19 H21 O7,19,21,7,0,0,,,,
780,361.165679,361.165662,361.165662,230980640,,,-1,-0.046,-0.017,,,8,1.3,0.3,,,0,,C20 H25 O6,20,25,6,0,0,,,,
781,362.128089,362.127897,362.127897,2873211,,1,-1,-0.529,-0.192,,,4,1.666666667,0.466666667,,,0,,C15 H24 N O7 S,15,24,7,1,1,,,,
782,363.072147,363.072156,363.072156,2975439,,,-1,0.023,0.008,,,10,0.941176471,0.529411765,,,0,,C17 H15 O9,17,15,9,0,0,,,,
783,363.108433,363.108541,363.108541,20734704,,,-1,0.299,0.109,,,9,1.111111111,0.444444444,,,0,,C18 H19 O8,18,19,8,0,0,,,,
784,363.11963,363.119775,363.119775,3102458,,0,-1,0.399,0.145,,,9,1.176470588,0.411764706,,,0,,C17 H19 N2 O7,17,19,7,0,2,,,,
785,363.141028,363.140904,363.140904,16696077,,0,-1,-0.341,-0.124,,,4,1.714285714,0.642857143,,,0,,C14 H23 N2 O9,14,23,9,0,2,,,,
786,363.144981,363.144927,363.144927,163349264,,,-1,-0.15,-0.055,,,8,1.263157895,0.368421053,,,0,,C19 H23 O7,19,23,7,0,0,,,,
787,363.181204,363.181312,363.181312,10314545,,,-1,0.298,0.108,,,7,1.4,0.3,,,0,,C20 H27 O6,20,27,6,0,0,,,,
